,cubic,a_cubic,fwhm_cubic,I_cubic_1,tetragonal,a_tetragonal,c_tetragonal,fwhm_tetragonal,I_tetragonal_1,I_tetragonal_2,I_tetragonal_3,I_tetragonal_4
140,1,5.695943737739823,3.4631636857162085,7.25815562,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
141,1,5.606929768710631,3.5840606535145025,6.47783459,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
142,1,5.68604469169829,2.837389816096127,5.16046206,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
143,1,5.696394965531917,3.92803827799925,7.59608326,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
144,1,5.697238048600815,3.9484698701908516,7.13630787,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
145,1,5.753864990515086,4.521229516657594,7.1122612,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146,1,5.7569389721913105,3.768085812761649,7.62094913,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147,1,5.763330807392189,3.5451302005839733,3.39889247,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148,0,5.71875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149,1,5.812139077951813,6.49572408549793,3.27618686,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
150,1,5.6516650790308915,7.427291787914777,5.14172978,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
151,0,5.65625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152,1,5.622432917151841,4.922450715187033,3.289585,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
153,1,5.559696417900914,1.6464008347084278,4.52710205,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154,0,5.59375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
155,0,5.5625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
156,1,5.751347016151483,3.648968780251295,7.38567574,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
157,1,5.740503641382412,4.410168692164634,8.27877038,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
158,1,5.758198841520748,3.285117233074395,8.38960091,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
159,1,5.788989683253728,3.919100143380467,6.51953838,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
160,1,5.752478021275348,3.846019136400514,7.47924203,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
161,1,5.703269195657281,3.4014104553242293,6.79409595,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
162,1,5.894299419563473,5.095354364411236,8.16015922,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
163,1,5.7277676482910875,5.277452167491045,9.03061952,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164,1,5.778305928717542,3.6104495676130024,5.79409571,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
165,1,5.790566399266533,5.872774301051743,5.44139319,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
166,1,5.717130251452221,4.380787058984941,5.97336386,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
167,1,5.850780105265997,7.137206050654179,5.63768654,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
168,1,5.656889734168811,2.860900819449259,3.49435048,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
169,1,5.746603902870674,4.787850289166144,4.90691593,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
170,1,5.640556446663456,5.815789452361238,4.53128392,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
171,1,5.77461068628991,5.075027689948932,3.8334067,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
172,1,5.464906639886126,3.0530467246423383,4.05232764,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
173,1,5.429543620301671,1.2669102722117764,3.63759823,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
174,1,5.7671059821017865,3.7403279832492027,7.58108506,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
175,1,5.756165112969056,3.573617656278196,8.34020228,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
176,1,5.774738419665523,3.9253588833232618,8.3978418,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
177,1,5.829288750130041,4.5903752797196935,8.78399249,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
178,1,5.805138114747587,3.9543802676359614,8.59578346,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
179,1,5.737345361169025,3.7444986132518454,6.66376413,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
180,1,5.767099949927883,4.234446485222792,8.25997464,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
181,1,5.7638402874412344,3.4094285698885587,6.59436423,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
182,1,5.766081732982402,5.2492196845032595,8.31964277,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
183,1,5.6988615429114216,5.378904671738074,6.23605583,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
184,1,5.852900224281658,5.238426444600197,6.08074718,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
185,1,5.699190022882931,5.158889265169588,5.48390006,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
186,1,5.8145384761577965,7.408024907730448,5.15818463,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
187,1,5.685432750653921,3.749081649975662,5.31387274,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
188,1,5.742350005503468,5.345345673853649,5.72488602,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
189,0,5.6875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
190,0,5.671875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
191,1,5.77594389348649,3.132515213434306,5.74105311,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
192,1,5.791204771866236,3.3668809017928436,6.93770341,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
193,1,5.738201096639077,3.8681817052442526,8.17317712,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
194,1,5.80792387168892,4.083519738155784,8.34908647,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
195,1,5.791864556770101,4.167678691036666,9.38057029,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
196,1,5.840843942919891,3.6304258484191068,9.76941716,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
197,1,5.810624304432796,4.232061302734666,9.14908989,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
198,1,5.8432540379352504,4.0301860082300465,8.82448322,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
199,1,5.796369618437481,3.6517919585385483,6.99366251,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200,1,5.7318871658864365,4.468599275945412,7.64155277,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
201,1,5.832079964978379,3.849587646214269,7.26325477,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
202,1,5.684766884843033,3.4384966037362803,5.66919487,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
203,1,5.7956867302145785,3.5048499482407984,5.12233064,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
204,1,5.897246814644615,7.076939578473955,4.13382479,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
205,1,5.975163408811873,7.788947853271616,3.79200103,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
206,1,5.887114603882601,7.669377231797051,2.57443576,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
207,1,5.635144459318685,2.7527849415137187,4.03460247,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
208,1,5.783456640695671,4.10733536689333,8.90946142,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
