,X (mm),Y (mm),Si (at. %),Ge (at. %),Sn (at. %),I (A),m (g),ρ (g/cm³),l (mg/cm²),d (µm)
144,-6.25,53.15,0.2752926513142969,0.4549216533587147,0.26978569532698843,5.581665628385925e-07,3.445934441906304e-07,5.879118500000001,0.078,0.133
145,-11.25,53.15,0.29605583149774206,0.42614308638371995,0.27780108211853805,5.625169651326102e-07,3.445934441906304e-07,5.8859884,0.078,0.133
146,-16.25,53.15,0.31362514323058516,0.4026855556439391,0.2836893011254757,5.592648733255368e-07,3.4017557952151985e-07,5.8887656,0.077,0.131
147,-21.25,53.15,0.327700153359764,0.3774433433435038,0.29485650329673224,5.52814451444332e-07,3.357577148524092e-07,5.9093179,0.076,0.129
148,-26.25,53.15,0.35449130000688,0.34905743408849893,0.2964512659046211,5.689304487525158e-07,3.4017557952151985e-07,5.8914266,0.077,0.131
149,-31.25,53.15,0.38638619792387313,0.31920355455549576,0.29441024752063105,5.739315313537474e-07,3.357577148524092e-07,5.858657999999999,0.076,0.129
150,-36.25,53.15,0.41332103807186815,0.2918891533186465,0.29478980860948545,5.608910514800614e-07,3.225041208450772e-07,5.8359179,0.073,0.124
151,-41.25,53.15,0.4496893307121478,0.2649197067567513,0.2853909625311009,5.626166650593836e-07,3.136683915068559e-07,5.772285999999999,0.071,0.124
152,-46.25,53.15,0.47764345509323386,0.2419280454644064,0.2804284994423597,5.511464742684883e-07,3.00414797499524e-07,5.7272194999999995,0.068,0.119
153,-51.25,53.15,0.5128700875975155,0.22135354234023186,0.26577637006225274,5.458933145958587e-07,2.8716120349219206e-07,5.638381399999999,0.065,0.115
154,-56.25,53.15,0.542825253610763,0.19991518415533727,0.2572595622338999,5.26970720462159e-07,2.694897448157494e-07,5.572333599999999,0.061,0.11
155,-61.25,53.15,0.5691242983402611,0.1844479383104667,0.24642776334927208,4.975611102243708e-07,2.474004214701962e-07,5.4981499000000005,0.056,0.101
156,23.75,58.15,0.178419317377795,0.5727347111680248,0.24884597145418036,4.6519195463191516e-07,3.00414797499524e-07,5.8967521,0.068,0.116
157,18.75,58.15,0.17502082594921284,0.5654672772767996,0.25951189677398745,4.951677357729758e-07,3.225041208450772e-07,5.9278374000000005,0.073,0.123
158,13.75,58.15,0.20092414629830146,0.5329227692690189,0.26615308443267977,5.213261622250876e-07,3.357577148524092e-07,5.927137800000001,0.076,0.127
159,8.75,58.15,0.22052301690598322,0.503467200164149,0.27600978292986766,5.31116624881188e-07,3.4017557952151985e-07,5.9394526,0.077,0.13
160,3.75,58.15,0.2266785294526732,0.4837595271888812,0.28956194335844565,5.423977561356274e-07,3.490113088597411e-07,5.971914399999999,0.079,0.132
161,-1.25,58.15,0.24473493655879908,0.45774854066733506,0.29751652277386587,5.45492416027529e-07,3.490113088597411e-07,5.979829,0.079,0.133
162,-6.25,58.15,0.2613554125130772,0.43181700313456645,0.3068275843523565,5.616778519718795e-07,3.578470381979624e-07,5.993783799999999,0.081,0.135
163,-11.25,58.15,0.28013470586102485,0.4053961668125905,0.3144691273263846,5.653246596870499e-07,3.578470381979624e-07,6.0011311,0.081,0.135
164,-16.25,58.15,0.2983245013840513,0.379031422626998,0.3226440759889507,5.686293269862226e-07,3.578470381979624e-07,6.0104681,0.081,0.134
165,-21.25,58.15,0.31841811600541947,0.35138939077421216,0.3301924932203684,5.657833022692054e-07,3.5342917352885177e-07,6.0168111,0.08,0.134
166,-26.25,58.15,0.3395553192328478,0.32620640164769854,0.3342382791194536,5.787905854418662e-07,3.578470381979624e-07,6.0127102,0.081,0.134
167,-31.25,58.15,0.3681506558246095,0.29936067945643235,0.3324886647189582,5.824672656976414e-07,3.5342917352885177e-07,5.9863962,0.08,0.133
168,-36.25,58.15,0.3907139653522333,0.2773741003998017,0.33191193424796495,5.688276201381626e-07,3.4017557952151985e-07,5.9672705,0.077,0.128
169,-41.25,58.15,0.4232440872582189,0.2518529866545969,0.32490292608718424,5.683353896795724e-07,3.313398501832985e-07,5.9200444,0.075,0.126
